GameIndex,White_ACPL,Black_ACPL,White,Black
0,2147.19,1851.77,Stockfish,Lc0
1,2089.91,2389.27,Lc0,Stockfish
2,3139.0,3732.0,Stockfish,NNUE
3,5048.25,4885.26,NNUE,Stockfish
4,5990.06,6611.25,Lc0,NNUE
5,926.58,533.43,NNUE,Lc0
6,4858.86,4734.57,Stockfish,Lc0
7,3904.52,3927.89,Lc0,Stockfish
8,5559.88,5832.62,Stockfish,NNUE
9,6534.74,6498.62,NNUE,Stockfish
10,3964.33,4514.5,Lc0,NNUE
11,8835.74,8799.23,NNUE,Lc0
12,3080.37,3035.0,Stockfish,Lc0
13,1707.28,2036.76,Lc0,Stockfish
14,8406.92,8550.03,Stockfish,NNUE
15,4149.56,3897.71,NNUE,Stockfish
16,742.88,1375.5,Lc0,NNUE
17,3418.31,2978.87,NNUE,Lc0
18,611.87,431.1,Stockfish,Lc0
19,2391.38,2645.22,Lc0,Stockfish
20,3083.29,3422.32,Stockfish,NNUE
21,5951.54,6023.18,NNUE,Stockfish
22,3491.75,3948.2,Lc0,NNUE
23,2305.6,1897.16,NNUE,Lc0
24,2608.79,2334.78,Stockfish,Lc0
25,2248.93,2410.17,Lc0,Stockfish
26,991.0,2091.67,Stockfish,NNUE
27,7759.0,7650.37,NNUE,Stockfish
28,1060.83,1599.44,Lc0,NNUE
29,2466.05,2061.11,NNUE,Lc0
30,534.54,293.73,Stockfish,Lc0
31,1987.93,2202.19,Lc0,Stockfish
32,6154.26,6262.86,Stockfish,NNUE
33,5405.32,5292.86,NNUE,Stockfish
34,2603.17,3141.33,Lc0,NNUE
35,4011.95,3797.95,NNUE,Lc0
36,1205.03,940.83,Stockfish,Lc0
37,858.48,1177.68,Lc0,Stockfish
38,3709.45,3819.6,Stockfish,NNUE
39,2717.58,2453.57,NNUE,Stockfish
40,3845.0,4313.73,Lc0,NNUE
41,4977.5,4603.04,NNUE,Lc0
42,4636.03,4470.76,Stockfish,Lc0
43,1520.08,1588.22,Lc0,Stockfish
44,2916.79,3272.75,Stockfish,NNUE
45,5371.31,5248.18,NNUE,Stockfish
46,736.88,1363.06,Lc0,NNUE
47,4511.13,4424.23,NNUE,Lc0
48,670.59,225.95,Stockfish,Lc0
49,1540.86,1662.34,Lc0,Stockfish
50,7315.97,7632.5,Stockfish,NNUE
51,3200.56,2813.82,NNUE,Stockfish
52,3620.54,4396.08,Lc0,NNUE
53,4254.6,4034.46,NNUE,Lc0
54,2335.48,2186.91,Stockfish,Lc0
55,505.27,951.14,Lc0,Stockfish
56,3577.79,4077.43,Stockfish,NNUE
57,3034.0,2658.11,NNUE,Stockfish
58,770.19,1384.75,Lc0,NNUE
59,6488.38,6357.92,NNUE,Lc0
300,120.76,121.15,Stockfish,Lc0
301,3802.03,4064.74,Lc0,Stockfish
302,5487.93,5586.21,Stockfish,NNUE
303,15223.96,15321.04,NNUE,Stockfish
304,3796.05,4260.35,Lc0,NNUE
305,2452.25,2045.0,NNUE,Lc0
306,1132.46,901.32,Stockfish,Lc0
307,1855.55,1896.78,Lc0,Stockfish
308,503.94,1048.17,Stockfish,NNUE
309,7315.02,7370.8,NNUE,Stockfish
310,4671.47,5259.35,Lc0,NNUE
311,2469.65,2076.26,NNUE,Lc0
312,3315.67,3363.66,Stockfish,Lc0
313,4662.8,5185.17,Lc0,Stockfish
314,3637.39,4175.44,Stockfish,NNUE
315,5073.34,4979.97,NNUE,Stockfish
316,3555.47,4214.53,Lc0,NNUE
317,6459.57,6405.52,NNUE,Lc0
318,1444.05,1957.89,Stockfish,Lc0
319,2431.27,2666.56,Lc0,Stockfish
320,5725.79,6213.0,Stockfish,NNUE
321,10016.38,10239.09,NNUE,Stockfish
322,2949.94,3498.83,Lc0,NNUE
323,3888.57,3677.64,NNUE,Lc0
324,3251.65,3028.27,Stockfish,Lc0
325,954.7,1174.24,Lc0,Stockfish
326,4341.6,4841.9,Stockfish,NNUE
