GameIndex,White_ACPL,Black_ACPL,White,Black
0,2031.1,2167.32,Stockfish,Lc0
1,3927.61,3946.47,Lc0,Stockfish
2,3901.71,4370.38,Stockfish,NNUE
3,5589.0,5354.75,NNUE,Stockfish
4,1235.25,1884.25,Lc0,NNUE
5,4731.67,4412.24,NNUE,Lc0
6,22.62,22.36,Stockfish,Lc0
7,3631.82,3474.88,Lc0,Stockfish
8,2315.3,2751.74,Stockfish,NNUE
9,5452.0,5341.04,NNUE,Stockfish
10,2519.06,3154.06,Lc0,NNUE
11,4884.43,4627.35,NNUE,Lc0
12,2727.58,2886.8,Stockfish,Lc0
13,173.65,173.57,Lc0,Stockfish
14,6663.62,6969.0,Stockfish,NNUE
15,4824.59,4612.46,NNUE,Stockfish
16,5941.94,6558.12,Lc0,NNUE
17,2835.34,2626.86,NNUE,Lc0
18,3120.47,3130.46,Stockfish,Lc0
19,37.6,45.17,Lc0,Stockfish
20,2314.04,2508.13,Stockfish,NNUE
21,3003.9,2988.95,NNUE,Stockfish
22,3504.16,4016.47,Lc0,NNUE
23,5006.67,4654.36,NNUE,Lc0
24,2643.5,2880.64,Stockfish,Lc0
25,2991.12,2791.75,Lc0,Stockfish
26,2559.07,3215.67,Stockfish,NNUE
27,5108.62,4932.08,NNUE,Stockfish
28,3194.92,3629.24,Lc0,NNUE
29,5114.77,5199.28,NNUE,Lc0
30,3050.77,3244.44,Stockfish,Lc0
31,2993.6,2980.27,Lc0,Stockfish
32,2681.83,3234.0,Stockfish,NNUE
33,3385.46,3138.68,NNUE,Stockfish
34,3215.0,3616.08,Lc0,NNUE
35,4464.27,4257.67,NNUE,Lc0
36,3466.83,3583.35,Stockfish,Lc0
37,43.66,43.61,Lc0,Stockfish
38,3294.44,3694.78,Stockfish,NNUE
39,4813.37,4639.73,NNUE,Stockfish
40,1894.87,2623.13,Lc0,NNUE
41,3877.26,3602.91,NNUE,Lc0
42,3770.25,3923.13,Stockfish,Lc0
43,37.11,39.09,Lc0,Stockfish
44,5372.14,5822.67,Stockfish,NNUE
45,1434.45,1024.67,NNUE,Stockfish
46,1263.62,1879.69,Lc0,NNUE
47,3295.86,2831.77,NNUE,Lc0
48,3466.61,3621.94,Stockfish,Lc0
49,120.94,120.27,Lc0,Stockfish
50,2488.67,3163.33,Stockfish,NNUE
51,5893.29,5740.26,NNUE,Stockfish
52,3191.92,3592.04,Lc0,NNUE
53,3948.65,3803.32,NNUE,Lc0
54,3335.88,3477.18,Stockfish,Lc0
55,1551.17,1473.18,Lc0,Stockfish
56,2138.14,2594.73,Stockfish,NNUE
