GameIndex,White_ACPL,Black_ACPL,White,Black
0,3558.45,3622.88,Stockfish,Lc0
1,3679.75,3588.62,Lc0,Stockfish
2,2157.92,2569.25,Stockfish,NNUE
3,5529.4,5285.42,NNUE,Stockfish
4,3325.06,3914.76,Lc0,NNUE
5,3057.24,2687.8,NNUE,Lc0
6,13.86,12.56,Stockfish,Lc0
7,3838.46,3738.72,Lc0,Stockfish
8,436.73,888.64,Stockfish,NNUE
9,2929.56,2590.53,NNUE,Stockfish
10,3854.67,4256.83,Lc0,NNUE
11,3175.26,2809.94,NNUE,Lc0
12,4162.83,4468.7,Stockfish,Lc0
13,2676.21,2578.59,Lc0,Stockfish
14,5591.88,5874.81,Stockfish,NNUE
15,6194.32,6028.93,NNUE,Stockfish
16,3858.42,4259.75,Lc0,NNUE
17,8381.33,8147.65,NNUE,Lc0
18,3595.91,3720.04,Stockfish,Lc0
19,3232.22,3020.05,Lc0,Stockfish
20,3779.21,4305.58,Stockfish,NNUE
21,4126.41,3904.0,NNUE,Stockfish
22,3838.42,4258.12,Lc0,NNUE
23,6012.48,5680.73,NNUE,Lc0
24,3722.51,3895.51,Stockfish,Lc0
25,3814.78,3675.89,Lc0,Stockfish
26,4602.11,4962.93,Stockfish,NNUE
27,3124.75,2803.53,NNUE,Stockfish
28,1708.64,2410.36,Lc0,NNUE
29,3005.2,2717.53,NNUE,Lc0
30,4616.87,4794.93,Stockfish,Lc0
31,4982.49,5256.75,Lc0,Stockfish
32,2115.77,2600.32,Stockfish,NNUE
33,2884.15,2500.11,NNUE,Stockfish
34,5473.35,5988.3,Lc0,NNUE
35,1860.04,1494.68,NNUE,Lc0
36,4037.13,4090.7,Stockfish,Lc0
37,2650.23,2554.44,Lc0,Stockfish
38,356.48,836.86,Stockfish,NNUE
39,5574.76,5262.0,NNUE,Stockfish
40,2912.45,3363.05,Lc0,NNUE
41,1976.19,1691.52,NNUE,Lc0
42,3855.38,4040.2,Stockfish,Lc0
43,3598.03,3646.16,Lc0,Stockfish
44,3294.27,3635.47,Stockfish,NNUE
45,1809.56,1339.76,NNUE,Stockfish
46,3845.58,4253.17,Lc0,NNUE
47,6514.19,6429.2,NNUE,Lc0
48,4008.85,4138.05,Stockfish,Lc0
49,3320.94,3334.33,Lc0,Stockfish
50,4766.63,5102.8,Stockfish,NNUE
51,4034.91,3699.55,NNUE,Stockfish
52,3966.56,4482.11,Lc0,NNUE
53,4697.87,4534.7,NNUE,Lc0
54,4885.84,5058.34,Stockfish,Lc0
55,93.75,92.45,Lc0,Stockfish
56,179.65,768.65,Stockfish,NNUE
57,6710.38,6263.1,NNUE,Stockfish
58,2412.76,3070.82,Lc0,NNUE
59,3170.3,3122.66,NNUE,Lc0
300,3165.59,3525.0,Stockfish,Lc0
301,2528.52,2416.52,Lc0,Stockfish
302,3752.67,4325.0,Stockfish,NNUE
303,5159.77,4976.88,NNUE,Stockfish
304,3452.25,3951.9,Lc0,NNUE
305,5064.9,4726.75,NNUE,Lc0
