GameIndex,White_ACPL,Black_ACPL,White,Black
46,1583.06,1317.56,Stockfish,Lc0
47,4013.46,4401.27,Lc0,Stockfish
48,2166.02,1981.28,Stockfish,Lc0
49,752.23,1227.55,Lc0,Stockfish
50,3001.22,2853.62,Stockfish,Lc0
51,1865.72,2114.5,Lc0,Stockfish
52,4306.15,4112.28,Stockfish,Lc0
53,4359.27,4586.12,Lc0,Stockfish
54,1827.02,1684.88,Stockfish,Lc0
55,1213.3,1475.59,Lc0,Stockfish
56,2016.77,1828.03,Stockfish,Lc0
57,4135.0,4447.84,Lc0,Stockfish
58,2280.26,2044.97,Stockfish,Lc0
59,3021.35,3250.78,Lc0,Stockfish
60,4240.69,4141.47,Stockfish,Lc0
61,3031.72,3270.28,Lc0,Stockfish
62,1483.7,1182.67,Stockfish,Lc0
63,2878.05,3038.53,Lc0,Stockfish
64,2517.91,2296.53,Stockfish,Lc0
65,2808.97,3066.47,Lc0,Stockfish
66,2294.25,2265.67,Stockfish,Lc0
67,3634.32,3932.85,Lc0,Stockfish
68,620.92,223.79,Stockfish,Lc0
69,1526.12,2120.0,Lc0,Stockfish
70,4338.39,4159.97,Stockfish,Lc0
71,1042.55,1390.97,Lc0,Stockfish
72,2384.71,2334.67,Stockfish,Lc0
73,4154.31,4450.97,Lc0,Stockfish
74,1365.94,1062.29,Stockfish,Lc0
75,2769.02,3000.58,Lc0,Stockfish
76,6777.48,6643.88,Stockfish,Lc0
77,4126.74,4483.26,Lc0,Stockfish
78,3196.8,2951.49,Stockfish,Lc0
79,1683.29,2150.29,Lc0,Stockfish
80,1943.25,1730.92,Stockfish,Lc0
81,1198.35,1701.9,Lc0,Stockfish
82,2728.6,2558.67,Stockfish,Lc0
83,2918.3,2994.44,Lc0,Stockfish
84,3531.69,3213.61,Stockfish,Lc0
85,3739.3,3877.5,Lc0,Stockfish
86,4538.18,4424.09,Stockfish,Lc0
87,709.38,1008.59,Lc0,Stockfish
88,2594.03,2339.03,Stockfish,Lc0
89,1651.2,1973.47,Lc0,Stockfish
90,4338.39,4159.97,Stockfish,Lc0
91,4492.58,4636.94,Lc0,Stockfish
92,5860.19,5763.39,Stockfish,Lc0
93,4247.45,4484.58,Lc0,Stockfish
94,3778.11,3538.66,Stockfish,Lc0
95,1623.32,1826.11,Lc0,Stockfish
96,3230.48,3017.96,Stockfish,Lc0
97,3181.0,3469.38,Lc0,Stockfish
98,3889.97,3713.29,Stockfish,Lc0
99,4688.84,4742.52,Lc0,Stockfish
