GameIndex,White_ACPL,Black_ACPL,White,Black
0,3032.53,3299.26,Stockfish,Lc0
1,2847.34,2924.42,Lc0,Stockfish
2,4231.8,4650.88,Stockfish,NNUE
3,2261.73,1719.36,NNUE,Stockfish
4,6749.18,7179.86,Lc0,NNUE
5,2980.55,2298.53,NNUE,Lc0
6,3542.22,3569.96,Stockfish,Lc0
7,2195.03,2033.21,Lc0,Stockfish
8,1542.19,2167.31,Stockfish,NNUE
9,4770.5,4733.19,NNUE,Stockfish
10,2568.93,3256.07,Lc0,NNUE
11,3769.04,3518.91,NNUE,Lc0
12,2964.57,3122.91,Stockfish,Lc0
13,41.01,42.32,Lc0,Stockfish
14,4889.05,5425.16,Stockfish,NNUE
15,3588.35,3364.52,NNUE,Stockfish
16,3887.36,4348.82,Lc0,NNUE
17,3469.73,3183.72,NNUE,Lc0
18,25.29,24.85,Stockfish,Lc0
19,41.09,41.38,Lc0,Stockfish
20,1197.76,1665.62,Stockfish,NNUE
21,2649.2,2267.84,NNUE,Stockfish
22,4090.0,4598.22,Lc0,NNUE
23,2504.93,1970.5,NNUE,Lc0
24,1276.87,1489.28,Stockfish,Lc0
25,4563.65,4406.63,Lc0,Stockfish
26,4842.77,5212.18,Stockfish,NNUE
27,3461.0,3163.0,NNUE,Stockfish
28,2341.08,3174.17,Lc0,NNUE
29,2360.05,1775.33,NNUE,Lc0
30,4351.24,4559.54,Stockfish,Lc0
31,52.27,54.9,Lc0,Stockfish
32,4994.68,5430.68,Stockfish,NNUE
33,2628.35,2257.84,NNUE,Stockfish
34,3337.14,3794.0,Lc0,NNUE
35,4281.5,4051.57,NNUE,Lc0
36,3930.11,4241.3,Stockfish,Lc0
37,4146.24,3897.46,Lc0,Stockfish
38,4379.12,4786.29,Stockfish,NNUE
39,5266.18,4892.59,NNUE,Stockfish
40,2501.71,3179.86,Lc0,NNUE
41,3820.83,3553.18,NNUE,Lc0
42,3845.45,4041.25,Stockfish,Lc0
43,2159.6,2035.59,Lc0,Stockfish
44,5110.43,5570.95,Stockfish,NNUE
45,5435.36,5248.79,NNUE,Stockfish
46,3831.68,4358.45,Lc0,NNUE
47,2238.83,1923.82,NNUE,Lc0
48,2425.67,2539.88,Stockfish,Lc0
49,40.14,44.26,Lc0,Stockfish
50,4203.84,4571.92,Stockfish,NNUE
51,2188.11,1766.17,NNUE,Stockfish
52,3456.27,3914.91,Lc0,NNUE
53,2520.65,2445.14,NNUE,Lc0
54,3243.48,3411.23,Stockfish,Lc0
55,1787.31,1948.74,Lc0,Stockfish
56,4067.22,4592.72,Stockfish,NNUE
57,4702.85,4408.96,NNUE,Stockfish
58,1278.74,1705.13,Lc0,NNUE
59,4861.92,4639.33,NNUE,Lc0
300,4037.82,4232.48,Stockfish,Lc0
301,97.88,101.8,Lc0,Stockfish
302,2956.95,3431.33,Stockfish,NNUE
303,3586.58,3485.87,NNUE,Stockfish
304,4938.28,5520.44,Lc0,NNUE
305,1082.31,342.33,NNUE,Lc0
306,28.16,27.45,Stockfish,Lc0
307,3506.36,3516.27,Lc0,Stockfish
308,5154.75,5712.1,Stockfish,NNUE
309,4589.25,4439.35,NNUE,Stockfish
310,6213.95,6674.23,Lc0,NNUE
311,3681.42,3423.84,NNUE,Lc0
312,3469.4,3629.46,Stockfish,Lc0
313,2806.16,2787.62,Lc0,Stockfish
314,3141.53,3942.2,Stockfish,NNUE
315,2669.45,2299.79,NNUE,Stockfish
316,2743.44,3270.62,Lc0,NNUE
317,4904.39,4615.06,NNUE,Lc0
318,3077.15,3189.75,Stockfish,Lc0
319,4550.28,4565.07,Lc0,Stockfish
320,2344.35,2903.06,Stockfish,NNUE
321,2667.05,2285.79,NNUE,Stockfish
322,3049.81,3666.94,Lc0,NNUE
323,1875.87,1632.14,NNUE,Lc0
324,3945.74,4222.6,Stockfish,Lc0
325,1521.38,1349.71,Lc0,Stockfish
326,3102.0,3676.91,Stockfish,NNUE
327,2632.5,2261.0,NNUE,Stockfish
328,236.93,894.13,Lc0,NNUE
329,5234.27,4867.29,NNUE,Lc0
330,3142.3,3319.08,Stockfish,Lc0
331,1667.49,1665.85,Lc0,Stockfish
332,1543.52,1956.48,Stockfish,NNUE
333,8102.69,7984.58,NNUE,Stockfish
