GameIndex,White_ACPL,Black_ACPL,White,Black
0,4338.48,4147.61,Stockfish,Lc0
1,1217.22,1748.48,Lc0,Stockfish
2,5618.85,5701.06,Stockfish,NNUE
3,11460.12,11475.37,NNUE,Stockfish
4,6713.78,6930.22,Lc0,NNUE
5,4085.16,3782.83,NNUE,Lc0
6,47.79,49.77,Stockfish,Lc0
7,534.03,247.96,Lc0,Stockfish
8,4839.8,4818.53,Stockfish,NNUE
9,5115.38,4906.65,NNUE,Stockfish
10,3919.81,4398.57,Lc0,NNUE
11,7119.1,7023.89,NNUE,Lc0
12,2300.78,2122.27,Stockfish,Lc0
13,1018.43,1283.05,Lc0,Stockfish
14,4323.55,4544.24,Stockfish,NNUE
15,7297.58,7187.38,NNUE,Stockfish
16,1171.15,1963.46,Lc0,NNUE
17,3055.33,2561.43,NNUE,Lc0
18,2457.73,2266.03,Stockfish,Lc0
19,395.94,1006.38,Lc0,Stockfish
20,3934.67,4639.47,Stockfish,NNUE
21,12177.72,12234.0,NNUE,Stockfish
22,3396.05,3913.42,Lc0,NNUE
23,1645.56,1008.6,NNUE,Lc0
24,4013.46,3913.38,Stockfish,Lc0
25,5964.45,6097.92,Lc0,Stockfish
26,6677.82,7214.68,Stockfish,NNUE
27,2720.95,2336.56,NNUE,Stockfish
28,4884.78,5013.22,Lc0,NNUE
29,5916.95,5707.52,NNUE,Lc0
30,2322.73,1973.53,Stockfish,Lc0
31,10133.49,10120.65,Lc0,Stockfish
32,4347.54,4631.0,Stockfish,NNUE
33,4042.82,4085.63,NNUE,Stockfish
34,3871.71,4326.05,Lc0,NNUE
35,3330.61,2898.06,NNUE,Lc0
36,3969.84,3711.33,Stockfish,Lc0
37,535.21,248.43,Lc0,Stockfish
38,11942.51,12129.48,Stockfish,NNUE
39,2424.5,1916.8,NNUE,Stockfish
40,2174.52,2599.28,Lc0,NNUE
41,3860.78,3331.47,NNUE,Lc0
42,1873.47,1907.64,Stockfish,Lc0
43,5520.14,5709.39,Lc0,Stockfish
44,4676.51,5022.16,Stockfish,NNUE
45,7245.19,7330.74,NNUE,Stockfish
46,3413.47,3938.58,Lc0,NNUE
47,4230.92,3348.83,NNUE,Lc0
48,2916.24,2453.61,Stockfish,Lc0
49,1296.42,1528.55,Lc0,Stockfish
50,3870.41,4453.47,Stockfish,NNUE
51,6937.79,6820.16,NNUE,Stockfish
52,2223.29,2932.79,Lc0,NNUE
53,2331.6,1930.74,NNUE,Lc0
54,4938.74,4821.08,Stockfish,Lc0
55,1847.71,2214.0,Lc0,Stockfish
56,6230.39,6592.64,Stockfish,NNUE
57,8834.66,8850.91,NNUE,Stockfish
58,6092.52,6489.22,Lc0,NNUE
59,2712.61,2296.59,NNUE,Lc0
300,2062.69,1753.04,Stockfish,Lc0
301,692.93,787.11,Lc0,Stockfish
302,8111.27,8176.21,Stockfish,NNUE
303,5518.98,5611.82,NNUE,Stockfish
304,213.88,1456.75,Lc0,NNUE
305,2452.0,2223.65,NNUE,Lc0
306,3749.27,3647.86,Stockfish,Lc0
307,1294.12,1525.67,Lc0,Stockfish
308,4748.67,5329.92,Stockfish,NNUE
309,7309.27,6788.07,NNUE,Stockfish
310,6698.91,7121.22,Lc0,NNUE
311,3805.11,3109.06,NNUE,Lc0
312,4485.4,4326.45,Stockfish,Lc0
313,1580.58,1936.88,Lc0,Stockfish
314,11336.44,11504.43,Stockfish,NNUE
315,7315.67,6998.97,NNUE,Stockfish
316,2309.59,2901.71,Lc0,NNUE
317,5617.3,5648.68,NNUE,Lc0
318,1291.4,1071.07,Stockfish,Lc0
319,14776.52,14507.69,Lc0,Stockfish
320,5492.53,5622.56,Stockfish,NNUE
321,7818.51,7784.5,NNUE,Stockfish
322,6943.79,7604.86,Lc0,NNUE
323,3069.0,2726.86,NNUE,Lc0
324,3670.82,3508.72,Stockfish,Lc0
325,534.66,249.82,Lc0,Stockfish
326,3503.74,3793.03,Stockfish,NNUE
327,3774.68,3552.48,NNUE,Stockfish
328,4670.26,5253.09,Lc0,NNUE
329,3583.75,3251.79,NNUE,Lc0
330,3419.0,3207.13,Stockfish,Lc0
331,1298.88,1531.28,Lc0,Stockfish
332,4650.54,5313.0,Stockfish,NNUE
333,7082.72,6891.95,NNUE,Stockfish
334,6545.65,7023.3,Lc0,NNUE
335,3641.0,3236.27,NNUE,Lc0
336,3627.67,3369.3,Stockfish,Lc0
337,2504.8,2907.84,Lc0,Stockfish
338,5038.52,5457.61,Stockfish,NNUE
339,2816.75,2489.68,NNUE,Stockfish
340,3378.12,3477.08,Lc0,NNUE
341,3756.61,3377.29,NNUE,Lc0
342,5465.84,5611.81,Stockfish,Lc0
343,4108.68,4497.68,Lc0,Stockfish
344,560.5,1269.64,Stockfish,NNUE
345,7256.89,7421.31,NNUE,Stockfish
346,5952.35,6364.53,Lc0,NNUE
347,4819.52,4581.7,NNUE,Lc0
348,690.11,473.73,Stockfish,Lc0
349,2149.52,2463.88,Lc0,Stockfish
350,253.0,1248.6,Stockfish,NNUE
351,5171.9,5160.21,NNUE,Stockfish
352,4608.76,5084.9,Lc0,NNUE
353,2230.19,1592.93,NNUE,Lc0
354,3364.82,3202.13,Stockfish,Lc0
355,3979.61,4218.32,Lc0,Stockfish
356,5486.55,5890.73,Stockfish,NNUE
357,8827.27,9058.15,NNUE,Stockfish
358,4623.87,5077.39,Lc0,NNUE
359,5679.45,5484.47,NNUE,Lc0
360,3819.62,3619.81,Stockfish,Lc0
361,3426.21,3768.24,Lc0,Stockfish
362,4911.0,5312.67,Stockfish,NNUE
363,5830.56,5731.77,NNUE,Stockfish
364,2946.11,3455.28,Lc0,NNUE
365,2489.81,2164.7,NNUE,Lc0
366,4454.86,4288.43,Stockfish,Lc0
367,8908.59,8789.15,Lc0,Stockfish
368,4729.67,4764.38,Stockfish,NNUE
369,13608.31,13886.31,NNUE,Stockfish
370,6302.48,6917.13,Lc0,NNUE
371,3062.5,2725.65,NNUE,Lc0
372,5277.64,5131.21,Stockfish,Lc0
373,3005.3,3093.64,Lc0,Stockfish
374,14695.12,14783.12,Stockfish,NNUE
375,8798.98,8606.72,NNUE,Stockfish
376,7250.46,7678.85,Lc0,NNUE
377,4132.89,3758.0,NNUE,Lc0
378,760.82,770.89,Stockfish,Lc0
379,1551.45,1864.0,Lc0,Stockfish
380,14633.29,14739.84,Stockfish,NNUE
381,6026.5,6128.69,NNUE,Stockfish
382,2856.1,3328.81,Lc0,NNUE
383,4649.21,4356.67,NNUE,Lc0
384,4475.67,4480.89,Stockfish,Lc0
385,3353.06,3494.1,Lc0,Stockfish
386,6574.66,6714.02,Stockfish,NNUE
387,3193.14,3059.62,NNUE,Stockfish
388,4717.63,5243.58,Lc0,NNUE
389,1838.0,1253.5,NNUE,Lc0
390,4260.67,4144.6,Stockfish,Lc0
391,499.02,689.61,Lc0,Stockfish
392,4676.79,5299.79,Stockfish,NNUE
393,2199.53,1645.79,NNUE,Stockfish
394,2689.67,3298.06,Lc0,NNUE
395,5944.91,5719.0,NNUE,Lc0
396,6947.33,6958.72,Stockfish,Lc0
397,536.97,252.57,Lc0,Stockfish
398,13562.43,13518.73,Stockfish,NNUE
399,6485.02,6476.41,NNUE,Stockfish
400,2083.69,2667.06,Lc0,NNUE
401,3594.83,3208.0,NNUE,Lc0
402,3951.27,3628.89,Stockfish,Lc0
403,3602.25,3667.57,Lc0,Stockfish
404,14855.81,15110.95,Stockfish,NNUE
405,4700.21,4359.72,NNUE,Stockfish
406,6601.65,6922.26,Lc0,NNUE
407,4725.0,4131.71,NNUE,Lc0
408,2069.42,1756.08,Stockfish,Lc0
409,102.38,106.69,Lc0,Stockfish
410,8239.43,8347.43,Stockfish,NNUE
411,4046.33,3776.3,NNUE,Stockfish
412,6512.06,7127.12,Lc0,NNUE
413,3715.85,3386.89,NNUE,Lc0
414,2004.53,1894.86,Stockfish,Lc0
415,5600.14,5882.97,Lc0,Stockfish
416,9323.47,9491.45,Stockfish,NNUE
417,9114.1,9252.47,NNUE,Stockfish
418,3905.62,4367.0,Lc0,NNUE
419,4210.0,3942.1,NNUE,Lc0
420,1186.6,976.26,Stockfish,Lc0
421,2820.19,3140.09,Lc0,Stockfish
422,1575.53,2150.29,Stockfish,NNUE
423,6475.39,6193.82,NNUE,Stockfish
424,2077.94,2681.38,Lc0,NNUE
425,3718.83,3479.18,NNUE,Lc0
426,2384.94,2237.36,Stockfish,Lc0
427,536.48,246.5,Lc0,Stockfish
428,4877.79,5135.5,Stockfish,NNUE
429,3382.62,3135.8,NNUE,Stockfish
430,3531.11,4480.89,Lc0,NNUE
431,5662.79,5345.62,NNUE,Lc0
432,2766.69,2753.55,Stockfish,Lc0
433,2580.09,2842.0,Lc0,Stockfish
434,3068.21,3455.07,Stockfish,NNUE
435,1685.07,1047.62,NNUE,Stockfish
436,388.5,1021.06,Lc0,NNUE
437,2866.56,2452.24,NNUE,Lc0
438,3944.3,3640.64,Stockfish,Lc0
439,5823.24,5964.8,Lc0,Stockfish
440,4171.68,4682.68,Stockfish,NNUE
441,6317.0,6025.55,NNUE,Stockfish
442,3949.95,4404.0,Lc0,NNUE
443,4340.65,4298.84,NNUE,Lc0
444,87.67,90.92,Stockfish,Lc0
445,1264.13,1653.74,Lc0,Stockfish
446,4261.63,4012.49,Stockfish,NNUE
447,3322.47,2956.67,NNUE,Stockfish
