GameIndex,White_ACPL,Black_ACPL,White,Black
0,5914.97,5809.52,Stockfish,Lc0
1,3892.12,4400.03,Lc0,Stockfish
2,4614.97,4474.79,Stockfish,Lc0
3,3456.1,3748.35,Lc0,Stockfish
4,3015.71,2777.1,Stockfish,Lc0
5,3056.61,3385.06,Lc0,Stockfish
6,2737.42,2691.53,Stockfish,Lc0
7,2462.95,2682.5,Lc0,Stockfish
8,4684.35,4467.73,Stockfish,Lc0
9,2944.38,3076.59,Lc0,Stockfish
10,5914.97,5809.52,Stockfish,Lc0
11,3892.12,4400.03,Lc0,Stockfish
12,2957.81,2811.74,Stockfish,Lc0
13,3289.91,3477.37,Lc0,Stockfish
14,3623.79,3560.11,Stockfish,Lc0
15,1471.3,1798.37,Lc0,Stockfish
16,2531.71,2368.22,Stockfish,Lc0
17,3581.75,3759.36,Lc0,Stockfish
18,3728.75,3464.77,Stockfish,Lc0
19,2087.03,2496.09,Lc0,Stockfish
100,1855.38,1575.54,Stockfish,Lc0
101,1896.85,2192.13,Lc0,Stockfish
102,3152.76,2945.36,Stockfish,Lc0
103,3765.67,4186.26,Lc0,Stockfish
104,3740.63,3584.58,Stockfish,Lc0
105,2662.52,3056.1,Lc0,Stockfish
106,2088.3,1781.84,Stockfish,Lc0
107,2786.47,3229.07,Lc0,Stockfish
108,4630.3,4468.87,Stockfish,Lc0
109,2323.71,2543.73,Lc0,Stockfish
110,2242.61,2120.98,Stockfish,Lc0
111,1088.67,1450.56,Lc0,Stockfish
112,1351.28,1040.21,Stockfish,Lc0
113,3312.1,3507.65,Lc0,Stockfish
114,2917.5,2585.38,Stockfish,Lc0
115,3776.78,4155.93,Lc0,Stockfish
116,2052.23,1667.88,Stockfish,Lc0
117,4015.12,4302.03,Lc0,Stockfish
118,3526.78,3377.22,Stockfish,Lc0
119,2097.95,2549.64,Lc0,Stockfish
120,2856.88,2645.25,Stockfish,Lc0
121,2135.83,2264.17,Lc0,Stockfish
122,3982.08,3718.7,Stockfish,Lc0
123,4500.03,4627.22,Lc0,Stockfish
124,1128.85,845.34,Stockfish,Lc0
125,2070.38,2340.91,Lc0,Stockfish
126,3033.51,2962.44,Stockfish,Lc0
127,1762.68,1969.66,Lc0,Stockfish
128,5155.71,5019.55,Stockfish,Lc0
129,1675.32,2194.68,Lc0,Stockfish
130,3138.46,2930.5,Stockfish,Lc0
131,2830.22,2814.0,Lc0,Stockfish
132,2912.15,2432.38,Stockfish,Lc0
133,1167.03,1439.14,Lc0,Stockfish
134,2125.91,1874.59,Stockfish,Lc0
135,2144.77,2578.36,Lc0,Stockfish
136,2572.46,2395.03,Stockfish,Lc0
137,2320.73,2703.07,Lc0,Stockfish
138,1572.75,1300.52,Stockfish,Lc0
139,978.04,1373.36,Lc0,Stockfish
140,3341.62,3118.21,Stockfish,Lc0
141,3513.45,3823.82,Lc0,Stockfish
142,1705.96,1374.16,Stockfish,Lc0
143,3540.03,3792.44,Lc0,Stockfish
144,2503.31,2371.26,Stockfish,Lc0
145,3867.79,4157.93,Lc0,Stockfish
146,1668.4,1304.17,Stockfish,Lc0
147,2071.84,2338.97,Lc0,Stockfish
148,1856.69,1602.97,Stockfish,Lc0
149,4281.13,4549.29,Lc0,Stockfish
150,3296.61,3143.44,Stockfish,Lc0
151,3569.4,3965.77,Lc0,Stockfish
152,2901.0,2610.43,Stockfish,Lc0
153,4403.66,4499.14,Lc0,Stockfish
154,2377.12,2213.02,Stockfish,Lc0
155,1253.16,1774.74,Lc0,Stockfish
156,1826.05,1676.44,Stockfish,Lc0
157,2699.15,2844.66,Lc0,Stockfish
158,3516.08,3418.78,Stockfish,Lc0
159,1584.09,2029.14,Lc0,Stockfish
160,4431.24,4227.06,Stockfish,Lc0
161,3219.17,3550.14,Lc0,Stockfish
162,3390.12,3356.16,Stockfish,Lc0
163,3766.4,3965.73,Lc0,Stockfish
164,3809.07,3707.73,Stockfish,Lc0
165,2094.37,2304.86,Lc0,Stockfish
166,1618.23,1215.33,Stockfish,Lc0
167,3000.5,3267.78,Lc0,Stockfish
168,4616.27,4379.75,Stockfish,Lc0
169,1457.05,1724.76,Lc0,Stockfish
170,3250.9,2952.32,Stockfish,Lc0
171,3377.09,3463.88,Lc0,Stockfish
172,4055.79,3867.04,Stockfish,Lc0
173,3282.38,3622.66,Lc0,Stockfish
174,2449.63,2271.48,Stockfish,Lc0
175,2867.94,3009.41,Lc0,Stockfish
176,2681.64,2434.12,Stockfish,Lc0
177,4146.35,4312.53,Lc0,Stockfish
178,2974.62,2747.32,Stockfish,Lc0
179,1198.42,1582.12,Lc0,Stockfish
180,3341.62,3118.21,Stockfish,Lc0
181,5265.85,5174.55,Lc0,Stockfish
182,1849.43,1614.23,Stockfish,Lc0
183,3487.85,3661.25,Lc0,Stockfish
184,3759.0,3701.64,Stockfish,Lc0
185,4416.74,4531.14,Lc0,Stockfish
186,2360.04,2173.67,Stockfish,Lc0
187,3688.19,3824.85,Lc0,Stockfish
188,651.23,327.93,Stockfish,Lc0
189,2437.65,2612.16,Lc0,Stockfish
190,5914.97,5809.52,Stockfish,Lc0
191,3098.33,3346.78,Lc0,Stockfish
192,2509.05,2347.6,Stockfish,Lc0
193,3811.21,4050.03,Lc0,Stockfish
194,4556.14,4405.53,Stockfish,Lc0
195,3823.11,3881.74,Lc0,Stockfish
196,2923.8,2686.38,Stockfish,Lc0
197,1970.39,2238.83,Lc0,Stockfish
198,4455.0,4268.17,Stockfish,Lc0
199,6041.04,6435.83,Lc0,Stockfish
20,1170.67,989.96,Stockfish,Lc0
21,2731.63,2996.71,Lc0,Stockfish
22,4812.28,4628.79,Stockfish,Lc0
23,5950.68,6234.26,Lc0,Stockfish
24,2807.56,2688.65,Stockfish,Lc0
25,1768.93,2104.87,Lc0,Stockfish
26,2674.38,2489.51,Stockfish,Lc0
27,3791.67,4131.38,Lc0,Stockfish
28,3222.66,3062.62,Stockfish,Lc0
29,817.89,1198.3,Lc0,Stockfish
30,2242.61,2120.98,Stockfish,Lc0
31,4122.3,4228.88,Lc0,Stockfish
32,1695.71,1519.25,Stockfish,Lc0
33,1439.08,1799.08,Lc0,Stockfish
34,3324.57,3048.72,Stockfish,Lc0
35,4085.9,4200.79,Lc0,Stockfish
36,3734.29,3502.19,Stockfish,Lc0
37,1047.59,1392.52,Lc0,Stockfish
38,467.18,218.61,Stockfish,Lc0
39,968.31,1241.61,Lc0,Stockfish
40,5268.56,5111.92,Stockfish,Lc0
41,668.76,944.84,Lc0,Stockfish
42,3885.65,3511.83,Stockfish,Lc0
43,1764.32,1989.51,Lc0,Stockfish
44,3252.91,3045.0,Stockfish,Lc0
45,4129.17,4290.8,Lc0,Stockfish
46,3087.87,2844.43,Stockfish,Lc0
47,3697.3,3890.65,Lc0,Stockfish
48,493.97,167.59,Stockfish,Lc0
