GameIndex,White_ACPL,Black_ACPL,White,Black
0,3819.62,3619.81,Stockfish,Lc0
1,538.62,248.32,Lc0,Stockfish
2,12658.65,12687.2,Stockfish,NNUE
3,7749.22,7617.53,NNUE,Stockfish
4,5399.88,5803.75,Lc0,NNUE
5,2149.12,1661.94,NNUE,Lc0
6,10310.06,9821.27,Stockfish,Lc0
7,10595.59,10631.41,Lc0,Stockfish
8,3869.25,4486.31,Stockfish,NNUE
9,4976.42,5036.06,NNUE,Stockfish
10,3719.56,4202.0,Lc0,NNUE
11,9394.14,9435.14,NNUE,Lc0
12,2498.35,2281.47,Stockfish,Lc0
13,1452.78,1841.17,Lc0,Stockfish
14,4752.68,5113.72,Stockfish,NNUE
15,6416.53,6201.69,NNUE,Stockfish
16,753.0,1386.06,Lc0,NNUE
17,3742.63,3480.17,NNUE,Lc0
18,1402.46,1430.34,Stockfish,Lc0
19,5317.41,5371.82,Lc0,Stockfish
20,10659.64,10850.14,Stockfish,NNUE
21,1870.0,1299.53,NNUE,Stockfish
22,3822.76,4305.05,Lc0,NNUE
23,6205.05,6039.14,NNUE,Lc0
24,4401.08,4297.09,Stockfish,Lc0
25,4382.89,4585.06,Lc0,Stockfish
26,12572.42,12900.6,Stockfish,NNUE
27,8880.39,8997.66,NNUE,Stockfish
28,5367.16,5964.04,Lc0,NNUE
29,1822.18,1367.12,NNUE,Lc0
30,2322.73,1973.53,Stockfish,Lc0
31,531.62,254.07,Lc0,Stockfish
32,6865.4,7102.3,Stockfish,NNUE
33,6819.87,6585.34,NNUE,Stockfish
34,1768.15,2573.08,Lc0,NNUE
35,5053.0,4826.77,NNUE,Lc0
36,4059.45,3903.54,Stockfish,Lc0
37,2588.07,2924.72,Lc0,Stockfish
38,2423.55,2921.4,Stockfish,NNUE
39,8068.49,8167.48,NNUE,Stockfish
40,4764.26,5288.16,Lc0,NNUE
41,2735.19,2243.13,NNUE,Lc0
42,1206.27,990.58,Stockfish,Lc0
43,3467.51,3558.38,Lc0,Stockfish
44,1916.5,2737.33,Stockfish,NNUE
45,6203.88,6184.6,NNUE,Stockfish
46,3718.67,4024.44,Lc0,NNUE
47,3169.89,2733.76,NNUE,Lc0
48,3957.65,3806.78,Stockfish,Lc0
49,340.03,650.12,Lc0,Stockfish
50,7664.6,7989.33,Stockfish,NNUE
51,4095.96,3849.76,NNUE,Stockfish
52,5643.36,6054.72,Lc0,NNUE
