GameIndex,White_ACPL,Black_ACPL,White,Black
0,4443.34,4601.85,Stockfish,Lc0
1,4909.69,4745.75,Lc0,Stockfish
2,7750.93,8576.14,Stockfish,NNUE
3,5005.42,4815.12,NNUE,Stockfish
4,3290.88,3916.88,Lc0,NNUE
5,4955.87,4599.71,NNUE,Lc0
6,7405.13,7631.48,Stockfish,Lc0
7,5792.8,5745.77,Lc0,Stockfish
8,6000.21,6371.14,Stockfish,NNUE
9,3719.74,3371.22,NNUE,Stockfish
10,2138.76,2640.12,Lc0,NNUE
11,4735.35,4530.53,NNUE,Lc0
12,5649.59,5914.17,Stockfish,Lc0
13,4986.03,4916.03,Lc0,Stockfish
14,7319.0,7984.47,Stockfish,NNUE
15,6372.48,6263.08,NNUE,Stockfish
16,1602.0,2316.07,Lc0,NNUE
17,5550.53,5304.28,NNUE,Lc0
18,2507.46,2652.78,Stockfish,Lc0
19,3798.95,3706.28,Lc0,Stockfish
20,5167.53,5378.42,Stockfish,NNUE
21,6259.9,6024.1,NNUE,Stockfish
22,2502.71,2908.92,Lc0,NNUE
23,3359.6,3040.53,NNUE,Lc0
24,3097.97,3194.35,Stockfish,Lc0
25,4948.02,4999.54,Lc0,Stockfish
26,7772.55,8256.77,Stockfish,NNUE
27,6755.7,6610.58,NNUE,Stockfish
28,6932.64,7610.64,Lc0,NNUE
29,6065.36,5572.1,NNUE,Lc0
30,5043.09,5128.28,Stockfish,Lc0
31,3316.86,3154.86,Lc0,Stockfish
32,6354.9,6658.84,Stockfish,NNUE
33,5028.44,4856.15,NNUE,Stockfish
34,2140.39,2694.11,Lc0,NNUE
35,3960.75,3636.53,NNUE,Lc0
36,3705.75,3915.24,Stockfish,Lc0
37,5829.1,5886.76,Lc0,Stockfish
38,4974.83,5261.33,Stockfish,NNUE
39,3946.77,3624.62,NNUE,Stockfish
40,1846.46,2610.38,Lc0,NNUE
41,4343.5,4086.37,NNUE,Lc0
42,1438.55,1714.48,Stockfish,Lc0
43,5514.49,5368.45,Lc0,Stockfish
44,359.93,1065.43,Stockfish,NNUE
45,3716.33,3309.5,NNUE,Stockfish
46,1727.56,2227.22,Lc0,NNUE
47,2194.83,1756.41,NNUE,Lc0
48,2794.37,2994.08,Stockfish,Lc0
49,3872.01,3893.67,Lc0,Stockfish
50,5371.63,5829.79,Stockfish,NNUE
51,5757.26,5528.83,NNUE,Stockfish
52,3360.1,4362.2,Lc0,NNUE
53,1499.86,1116.86,NNUE,Lc0
54,397.61,827.87,Stockfish,Lc0
55,6720.44,6468.52,Lc0,Stockfish
56,6567.15,6985.96,Stockfish,NNUE
57,6126.19,6160.1,NNUE,Stockfish
58,3714.71,4136.67,Lc0,NNUE
59,4580.76,4357.92,NNUE,Lc0
300,1331.36,1504.16,Stockfish,Lc0
301,5157.63,5020.84,Lc0,Stockfish
302,5065.47,5712.84,Stockfish,NNUE
303,7186.46,7092.26,NNUE,Stockfish
304,2259.48,2732.14,Lc0,NNUE
305,8789.62,8910.5,NNUE,Lc0
306,1124.8,1463.23,Stockfish,Lc0
307,4552.67,4573.81,Lc0,Stockfish
308,2045.06,2660.94,Stockfish,NNUE
309,4505.39,4162.06,NNUE,Stockfish
310,4473.4,4814.44,Lc0,NNUE
311,5242.5,4948.35,NNUE,Lc0
312,6027.29,6319.65,Stockfish,Lc0
313,2479.84,2267.67,Lc0,Stockfish
314,2746.58,3267.32,Stockfish,NNUE
315,4030.53,3675.83,NNUE,Stockfish
316,3419.87,3724.27,Lc0,NNUE
317,2744.56,2327.12,NNUE,Lc0
318,4331.33,4393.4,Stockfish,Lc0
319,4703.68,4873.76,Lc0,Stockfish
320,3648.32,4173.89,Stockfish,NNUE
321,2848.82,2521.25,NNUE,Stockfish
322,2727.16,3137.84,Lc0,NNUE
323,5732.96,5547.09,NNUE,Lc0
324,4440.33,4582.33,Stockfish,Lc0
325,3425.32,3230.08,Lc0,Stockfish
326,4852.57,5184.43,Stockfish,NNUE
327,3786.59,3465.92,NNUE,Stockfish
328,1637.14,2395.86,Lc0,NNUE
329,1444.11,979.28,NNUE,Lc0
330,6149.4,6063.22,Stockfish,Lc0
331,3598.78,3528.56,Lc0,Stockfish
332,4811.36,5200.95,Stockfish,NNUE
333,3546.21,3186.06,NNUE,Stockfish
334,6859.68,7154.21,Lc0,NNUE
335,5383.35,5476.75,NNUE,Lc0
336,5169.43,5264.57,Stockfish,Lc0
337,4246.5,4260.59,Lc0,Stockfish
338,3191.32,3744.68,Stockfish,NNUE
339,5059.96,4680.39,NNUE,Stockfish
340,2203.0,2798.59,Lc0,NNUE
341,4380.65,4081.05,NNUE,Lc0
342,3852.41,4200.76,Stockfish,Lc0
343,4669.2,4606.27,Lc0,Stockfish
344,6419.25,6984.25,Stockfish,NNUE
345,4732.8,4601.38,NNUE,Stockfish
