GameIndex,White_ACPL,Black_ACPL,White,Black
576,3752.45,4091.98,Stockfish,Lc0
577,5182.94,5062.61,Lc0,Stockfish
578,545.75,1379.75,Stockfish,NNUE
579,6092.57,5888.21,NNUE,Stockfish
580,3921.31,4550.62,Lc0,NNUE
581,2361.9,1975.32,NNUE,Lc0
582,2565.41,2846.21,Stockfish,Lc0
583,5138.36,4888.86,Lc0,Stockfish
584,6290.64,6703.36,Stockfish,NNUE
585,4595.84,4313.11,NNUE,Stockfish
586,2073.25,2687.44,Lc0,NNUE
587,3558.72,3257.06,NNUE,Lc0
588,4545.82,4707.62,Stockfish,Lc0
589,3239.31,3093.46,Lc0,Stockfish
590,2339.12,2903.76,Stockfish,NNUE
591,4057.0,3762.05,NNUE,Stockfish
592,3080.36,3788.5,Lc0,NNUE
593,5980.89,5726.83,NNUE,Lc0
594,1181.33,1654.9,Stockfish,Lc0
595,2507.78,2347.79,Lc0,Stockfish
596,3100.83,3397.26,Stockfish,NNUE
597,3156.05,2781.17,NNUE,Stockfish
598,1558.88,2140.94,Lc0,NNUE
599,4099.21,3999.17,NNUE,Lc0
60,4297.94,4613.29,Stockfish,Lc0
61,517.13,199.93,Lc0,Stockfish
62,2281.0,2934.67,Stockfish,NNUE
63,5197.9,5068.11,NNUE,Stockfish
64,6006.22,6359.43,Lc0,NNUE
65,4520.9,4218.84,NNUE,Lc0
66,3583.25,3758.11,Stockfish,Lc0
67,3937.35,3785.36,Lc0,Stockfish
68,434.36,1144.79,Stockfish,NNUE
69,2656.12,2174.13,NNUE,Stockfish
70,668.06,1297.69,Lc0,NNUE
71,8275.52,8234.73,NNUE,Lc0
72,3532.47,3759.84,Stockfish,Lc0
73,3679.52,3598.73,Lc0,Stockfish
74,4809.1,5100.17,Stockfish,NNUE
75,2387.88,1908.81,NNUE,Stockfish
76,1629.44,2249.44,Lc0,NNUE
77,4126.44,3774.2,NNUE,Lc0
78,3355.79,3309.89,Stockfish,Lc0
79,5333.95,5219.52,Lc0,Stockfish
80,5223.8,5703.0,Stockfish,NNUE
81,6767.15,6823.32,NNUE,Stockfish
82,3992.19,4579.88,Lc0,NNUE
83,3639.83,3435.53,NNUE,Lc0
84,2755.35,2925.31,Stockfish,Lc0
85,6261.15,5966.72,Lc0,Stockfish
86,2080.78,2611.11,Stockfish,NNUE
87,2893.29,2466.25,NNUE,Stockfish
88,2952.9,3525.05,Lc0,NNUE
89,5765.29,5553.05,NNUE,Lc0
90,4949.26,5262.95,Stockfish,Lc0
91,3985.24,3961.76,Lc0,Stockfish
92,4738.67,5020.17,Stockfish,NNUE
93,5471.6,5239.05,NNUE,Stockfish
94,4078.27,4762.67,Lc0,NNUE
95,2183.52,1807.3,NNUE,Lc0
96,4779.46,5055.33,Stockfish,Lc0
97,3173.15,3151.24,Lc0,Stockfish
98,5099.52,5491.0,Stockfish,NNUE
99,3309.26,3300.17,NNUE,Stockfish
100,2860.43,3333.19,Lc0,NNUE
101,3808.71,3517.1,NNUE,Lc0
102,4560.42,4716.2,Stockfish,Lc0
103,3722.37,3497.98,Lc0,Stockfish
104,3920.67,4333.13,Stockfish,NNUE
105,4200.62,4077.55,NNUE,Stockfish
106,3097.5,3657.94,Lc0,NNUE
107,5760.81,5551.45,NNUE,Lc0
108,2868.53,3316.39,Stockfish,Lc0
109,4170.31,4162.6,Lc0,Stockfish
110,4337.23,4663.27,Stockfish,NNUE
111,5774.24,5443.79,NNUE,Stockfish
112,84.62,853.23,Lc0,NNUE
113,4155.9,3919.95,NNUE,Lc0
114,3012.46,3364.0,Stockfish,Lc0
115,2247.0,1957.31,Lc0,Stockfish
116,3332.67,3992.13,Stockfish,NNUE
117,6175.63,6315.44,NNUE,Stockfish
118,205.0,1450.75,Lc0,NNUE
119,3090.24,2771.0,NNUE,Lc0
120,3176.6,3354.54,Stockfish,Lc0
121,3347.06,3250.38,Lc0,Stockfish
122,3430.19,4070.06,Stockfish,NNUE
123,3680.24,3235.69,NNUE,Stockfish
124,3383.44,3953.94,Lc0,NNUE
125,5758.24,5550.5,NNUE,Lc0
126,4175.31,4298.21,Stockfish,Lc0
127,4824.95,4744.87,Lc0,Stockfish
128,2488.64,2872.36,Stockfish,NNUE
129,5514.14,5295.67,NNUE,Stockfish
130,4524.18,5103.06,Lc0,NNUE
131,2315.65,1922.16,NNUE,Lc0
132,4080.32,4096.46,Stockfish,Lc0
133,4509.2,4198.66,Lc0,Stockfish
134,1246.47,1821.88,Stockfish,NNUE
135,6110.06,5863.75,NNUE,Stockfish
136,1624.0,2249.0,Lc0,NNUE
137,4873.05,4914.71,NNUE,Lc0
138,3804.51,3876.47,Stockfish,Lc0
139,3272.39,3132.49,Lc0,Stockfish
140,965.75,1582.75,Stockfish,NNUE
141,4481.39,4193.76,NNUE,Stockfish
142,2101.44,2682.38,Lc0,NNUE
143,3702.39,3316.47,NNUE,Lc0
144,3762.89,3908.47,Stockfish,Lc0
145,3999.33,3905.61,Lc0,Stockfish
146,315.0,1148.83,Stockfish,NNUE
147,3372.1,3125.55,NNUE,Stockfish
148,4248.39,4834.78,Lc0,NNUE
149,5593.1,5625.05,NNUE,Lc0
150,4217.35,4386.65,Stockfish,Lc0
151,16.14,17.81,Lc0,Stockfish
152,4934.8,5353.45,Stockfish,NNUE
153,4902.53,4550.71,NNUE,Stockfish
154,2493.58,3017.95,Lc0,NNUE
155,1331.47,797.31,NNUE,Lc0
156,4863.48,5205.02,Stockfish,Lc0
157,4703.88,4595.73,Lc0,Stockfish
158,158.07,858.64,Stockfish,NNUE
159,4550.68,4296.06,NNUE,Stockfish
160,1935.0,2491.82,Lc0,NNUE
161,3933.11,3507.12,NNUE,Lc0
162,2557.33,3112.11,Stockfish,Lc0
163,2102.09,1959.15,Lc0,Stockfish
164,358.64,1068.29,Stockfish,NNUE
165,4572.11,4287.39,NNUE,Stockfish
166,1485.23,1871.59,Lc0,NNUE
167,5756.14,5650.8,NNUE,Lc0
168,2755.32,3308.35,Stockfish,Lc0
169,3743.68,3588.71,Lc0,Stockfish
170,396.44,1016.75,Stockfish,NNUE
171,2643.94,2171.8,NNUE,Stockfish
172,2551.67,3326.43,Lc0,NNUE
173,4126.31,3746.8,NNUE,Lc0
174,3633.19,3842.51,Stockfish,Lc0
175,4668.79,4542.11,Lc0,Stockfish
176,880.0,1488.56,Stockfish,NNUE
177,6154.19,5973.1,NNUE,Stockfish
178,1233.85,1818.85,Lc0,NNUE
179,7246.36,7191.67,NNUE,Lc0
180,2976.74,3250.88,Stockfish,Lc0
181,1678.51,1472.19,Lc0,Stockfish
182,4419.1,4792.35,Stockfish,NNUE
183,5445.9,5225.05,NNUE,Stockfish
184,5366.22,5839.48,Lc0,NNUE
185,4138.35,3831.89,NNUE,Lc0
186,3174.79,3219.24,Stockfish,Lc0
187,3177.51,3035.81,Lc0,Stockfish
188,3710.7,4253.95,Stockfish,NNUE
189,4465.78,4156.88,NNUE,Stockfish
