GameIndex,White_ACPL,Black_ACPL,White,Black
0,1943.25,1730.92,Stockfish,Lc0
1,3019.27,3306.21,Lc0,Stockfish
2,5253.23,5483.9,Stockfish,NNUE
3,4243.35,4012.61,NNUE,Stockfish
4,4357.0,4589.18,Lc0,NNUE
5,1580.91,1252.05,NNUE,Lc0
6,3688.56,3463.76,Stockfish,Lc0
7,1540.06,2127.12,Lc0,Stockfish
8,4541.24,4950.92,Stockfish,NNUE
9,12255.13,12171.36,NNUE,Stockfish
10,2199.81,2818.81,Lc0,NNUE
11,3714.74,3368.56,NNUE,Lc0
12,4970.43,4799.86,Stockfish,Lc0
13,2693.18,2973.46,Lc0,Stockfish
14,5210.68,5551.84,Stockfish,NNUE
15,13153.8,13198.67,NNUE,Stockfish
16,4017.65,4566.76,Lc0,NNUE
17,4308.9,4118.83,NNUE,Lc0
18,2938.62,2683.5,Stockfish,Lc0
19,5389.44,5289.76,Lc0,Stockfish
20,10236.79,10491.74,Stockfish,NNUE
21,1806.19,1407.1,NNUE,Stockfish
22,3841.29,4205.21,Lc0,NNUE
23,4673.93,4456.0,NNUE,Lc0
24,2929.83,2893.47,Stockfish,Lc0
25,4097.24,4389.45,Lc0,Stockfish
26,6784.0,7032.49,Stockfish,NNUE
27,6063.31,5993.98,NNUE,Stockfish
28,5959.95,6356.05,Lc0,NNUE
29,4096.73,3677.07,NNUE,Lc0
30,1174.33,679.96,Stockfish,Lc0
31,393.7,825.61,Lc0,Stockfish
32,7968.13,8181.67,Stockfish,NNUE
33,4112.42,3893.17,NNUE,Stockfish
34,2113.94,2730.69,Lc0,NNUE
35,4656.04,4475.23,NNUE,Lc0
36,4186.19,4240.5,Stockfish,Lc0
37,3921.17,4186.53,Lc0,Stockfish
38,5752.35,6194.32,Stockfish,NNUE
39,9480.14,9541.7,NNUE,Stockfish
40,3278.79,3666.11,Lc0,NNUE
41,4263.43,4079.11,NNUE,Lc0
42,860.73,553.97,Stockfish,Lc0
43,1452.79,1834.5,Lc0,Stockfish
44,6358.89,6701.04,Stockfish,NNUE
45,13751.28,13924.57,NNUE,Stockfish
46,1334.5,1958.14,Lc0,NNUE
47,4002.85,3766.52,NNUE,Lc0
48,2056.72,1680.07,Stockfish,Lc0
49,2731.28,2954.23,Lc0,Stockfish
50,6860.83,6865.98,Stockfish,NNUE
51,993.87,350.86,NNUE,Stockfish
52,4258.65,4905.94,Lc0,NNUE
53,2271.06,1835.18,NNUE,Lc0
54,2103.84,1929.68,Stockfish,Lc0
55,3086.6,3260.7,Lc0,Stockfish
56,7706.43,7883.57,Stockfish,NNUE
57,4051.21,3987.27,NNUE,Stockfish
58,1584.88,2057.65,Lc0,NNUE
59,4107.04,3727.12,NNUE,Lc0
300,1532.33,1153.91,Stockfish,Lc0
301,720.75,834.67,Lc0,Stockfish
302,6328.74,6652.26,Stockfish,NNUE
303,10918.62,10872.6,NNUE,Stockfish
