GameIndex,White_ACPL,Black_ACPL,White,Black
0,3070.97,3237.5,Stockfish,Lc0
1,3039.11,2945.9,Lc0,Stockfish
2,892.94,1516.56,Stockfish,NNUE
3,1313.94,769.12,NNUE,Stockfish
4,3843.25,4248.21,Lc0,NNUE
5,5179.86,4892.05,NNUE,Lc0
6,3366.63,3515.07,Stockfish,Lc0
7,2002.01,2129.15,Lc0,Stockfish
8,2359.55,2807.27,Stockfish,NNUE
9,5095.96,4925.08,NNUE,Stockfish
10,4766.12,5160.0,Lc0,NNUE
11,3692.33,3289.25,NNUE,Lc0
12,4441.31,4558.23,Stockfish,Lc0
13,2949.82,2844.32,Lc0,Stockfish
14,1419.29,2006.06,Stockfish,NNUE
15,3960.14,3651.45,NNUE,Stockfish
16,1817.94,2364.22,Lc0,NNUE
17,2920.6,2603.68,NNUE,Lc0
18,3301.39,3480.68,Stockfish,Lc0
19,43.17,44.37,Lc0,Stockfish
20,2524.44,3279.81,Stockfish,NNUE
21,5566.33,5292.59,NNUE,Stockfish
22,572.21,1083.84,Lc0,NNUE
23,1578.67,819.82,NNUE,Lc0
24,2373.13,2627.13,Stockfish,Lc0
25,2592.09,2453.37,Lc0,Stockfish
26,4397.24,4961.65,Stockfish,NNUE
27,5045.23,4819.33,NNUE,Stockfish
28,5611.62,6221.5,Lc0,NNUE
29,3021.15,2671.32,NNUE,Lc0
30,35.27,33.91,Stockfish,Lc0
31,3664.21,3585.13,Lc0,Stockfish
32,1415.0,2008.65,Stockfish,NNUE
33,6974.33,6812.35,NNUE,Stockfish
34,2129.82,2585.77,Lc0,NNUE
35,4550.9,4536.8,NNUE,Lc0
36,3086.01,3135.53,Stockfish,Lc0
37,2338.97,2329.57,Lc0,Stockfish
38,5442.64,5901.91,Stockfish,NNUE
39,2678.0,2394.27,NNUE,Stockfish
40,3847.96,4245.83,Lc0,NNUE
41,4247.71,4084.41,NNUE,Lc0
42,3656.24,3716.61,Stockfish,Lc0
43,2590.61,2466.67,Lc0,Stockfish
44,3543.29,4006.29,Stockfish,NNUE
45,4117.24,3839.65,NNUE,Stockfish
46,3206.48,3614.28,Lc0,NNUE
47,1820.5,1350.94,NNUE,Lc0
48,3162.63,3390.59,Stockfish,Lc0
49,4358.7,4226.5,Lc0,Stockfish
50,2167.93,2828.67,Stockfish,NNUE
51,5884.05,5666.79,NNUE,Stockfish
52,2824.05,3154.42,Lc0,NNUE
53,5112.62,4894.4,NNUE,Lc0
54,2621.71,2786.73,Stockfish,Lc0
55,38.56,36.06,Lc0,Stockfish
56,2557.57,2969.48,Stockfish,NNUE
57,2968.21,2484.57,NNUE,Stockfish
58,3209.96,3637.32,Lc0,NNUE
59,3829.74,3595.48,NNUE,Lc0
300,3940.56,4101.84,Stockfish,Lc0
301,3556.32,3421.9,Lc0,Stockfish
302,2143.05,2593.86,Stockfish,NNUE
303,4080.81,3762.35,NNUE,Stockfish
304,8746.62,9401.0,Lc0,NNUE
305,4809.94,4539.06,NNUE,Lc0
306,4262.43,4462.0,Stockfish,Lc0
307,2834.93,2588.26,Lc0,Stockfish
308,3019.25,3709.62,Stockfish,NNUE
309,4050.17,3733.0,NNUE,Stockfish
310,3841.25,4310.5,Lc0,NNUE
311,2013.81,1486.4,NNUE,Lc0
312,3077.21,3606.12,Stockfish,Lc0
313,2269.67,2159.22,Lc0,Stockfish
314,2427.17,2986.67,Stockfish,NNUE
315,4472.86,4222.43,NNUE,Stockfish
316,3228.68,3642.76,Lc0,NNUE
317,1830.0,1349.88,NNUE,Lc0
318,3316.3,3552.3,Stockfish,Lc0
319,28.43,27.57,Lc0,Stockfish
320,4612.07,4943.82,Stockfish,NNUE
321,2677.89,2271.47,NNUE,Stockfish
322,2629.65,3104.25,Lc0,NNUE
323,3408.2,3041.11,NNUE,Lc0
324,4084.4,4241.74,Stockfish,Lc0
325,2153.33,2022.86,Lc0,Stockfish
326,4172.0,4597.32,Stockfish,NNUE
327,3016.05,2377.32,NNUE,Stockfish
328,3231.72,3600.2,Lc0,NNUE
329,2091.62,1358.24,NNUE,Lc0
330,2442.06,2274.97,Stockfish,Lc0
331,693.5,513.17,Lc0,Stockfish
332,3378.84,3895.56,Stockfish,NNUE
333,5182.62,4975.96,NNUE,Stockfish
334,2843.44,3471.75,Lc0,NNUE
335,6792.32,6449.1,NNUE,Lc0
336,2521.14,2785.51,Stockfish,Lc0
337,48.33,46.4,Lc0,Stockfish
338,3594.19,3900.08,Stockfish,NNUE
339,5120.35,4956.32,NNUE,Stockfish
340,3614.44,4158.94,Lc0,NNUE
341,2716.72,2432.83,NNUE,Lc0
342,16.1,17.24,Stockfish,Lc0
343,34.57,34.12,Lc0,Stockfish
344,2262.05,2710.57,Stockfish,NNUE
345,1609.47,1024.14,NNUE,Stockfish
346,254.0,1201.18,Lc0,NNUE
347,5039.95,4988.8,NNUE,Lc0
348,3171.23,3363.94,Stockfish,Lc0
349,2842.23,2606.24,Lc0,Stockfish
350,5409.88,5802.04,Stockfish,NNUE
351,2609.67,2207.71,NNUE,Stockfish
352,2583.5,3180.12,Lc0,NNUE
353,3177.37,2806.89,NNUE,Lc0
354,83.63,80.91,Stockfish,Lc0
355,3302.02,3105.16,Lc0,Stockfish
356,5307.69,5816.38,Stockfish,NNUE
357,1186.88,650.06,NNUE,Stockfish
358,3852.92,4259.25,Lc0,NNUE
359,5306.9,4876.1,NNUE,Lc0
360,3407.08,3799.76,Stockfish,Lc0
361,34.52,31.73,Lc0,Stockfish
362,2346.15,2658.04,Stockfish,NNUE
363,5263.25,5307.11,NNUE,Stockfish
364,749.86,1306.48,Lc0,NNUE
365,4856.52,4369.5,NNUE,Lc0
366,3645.31,3869.98,Stockfish,Lc0
367,2642.39,2600.17,Lc0,Stockfish
368,2375.53,2950.37,Stockfish,NNUE
369,3935.58,3650.52,NNUE,Stockfish
370,2135.32,2592.09,Lc0,NNUE
371,6518.76,6385.96,NNUE,Lc0
372,3316.88,3608.0,Stockfish,Lc0
373,3596.83,3508.69,Lc0,Stockfish
